Layer,Name,GEOID,Population,Longitude,Latitude,PCT-W_2016-2020,PCT-B_2016-2020,PCT-A_2016-2020,PCT-H_2016-2020,PCT-P_2016-2020,PCT-Q_2016-2020,POP_2015-2019,EDB_2015-2019,EDX_2015-2019,INC_2015-2019,HDX_2015-2019,DIV_2015-2019,DIS_2015-2019,SVI_2020,CZM_2016-2020,HTJ_2015-2019,EVR_2018,RBU_2015-2019,VAC_2015-2019,PMC_2021,LFA_2019,UNS_2015-2019
Census tract,Tract 301.02,17031030102,2841,-87.65502250,41.99302640,41.9799498746867,15.1002506265664,25.8771929824561,11.6541353383459,0.0,1.69172932330827,2841.0,95.6857956857957,0.740948148148148,44680.5245901639,25.7,5.36864710093057,14.101646385111,82.93,61.2,4.50643776824034,0.58,55.4908485856905,12.7340823970037,9.801970411,0.0,6.22763063707945
Census tract,Tract 301.03,17031030103,2242,-87.65515270,41.99552410,51.2048192771084,23.0120481927711,13.7349397590361,10.3614457831325,0.36144578313253,1.32530120481928,2242.0,94.1680960548885,0.746286680352614,61505.59595377,29.3,4.90633363068689,8.96520963425513,37.1,36.0,0.0,0.46,28.5060975609756,24.0994854202401,9.794136712,0.0,4.05887600356824
Census tract,Tract 301.04,17031030104,3411,-87.65598640,41.99727730,56.3503649635037,8.55474452554745,25.5182481751825,8.46715328467153,0.262773722627737,0.846715328467153,3411.0,88.2270497547302,0.803664336557183,38173.0341844318,75.7,4.66138962181178,10.1143359718558,77.31,21.0,5.04761904761905,0.48,61.5629984051037,8.13648293963255,9.781323288,0.0,9.23482849604222
Census tract,Tract 302,17031030200,5702,-87.66523000,41.99444140,67.6104383421457,4.02524304963329,3.20654954801296,22.0535561998977,0.0,2.50724884871226,5702.0,93.4161199625117,0.670002730566359,78953.3073936866,14.8,3.91777933942375,9.60997891777934,32.39,154.6,0.651340996168582,0.31,42.7580893682589,4.64011691633175,9.823315342,0.0,3.86507378777231
Census tract,Tract 303,17031030300,3676,-87.67253480,41.99438750,36.9425040300913,17.6249328318109,13.7291778613649,27.9957012358947,0.537345513164965,3.17033852767329,3676.0,84.6066134549601,0.798560157790927,43604.958938752,68.3,7.04725484840208,11.8273695711554,75.72,51.4,6.9398545935228,0.66,55.5028462998102,3.69191597708466,9.85264274,0.0,13.0019120458891
Census tract,Tract 304,17031030400,2631,-87.67207880,41.98695150,52.8396009209516,3.68380660015349,3.41519570222563,33.0775134305449,0.920951650038373,6.06293169608596,2631.0,91.0159924741298,0.796288799895907,60991.1488719803,23.8,3.83884454580008,10.9464082098062,48.21,32.4,2.73141122913505,0.61,36.2530413625304,6.85512367491166,9.889653699,0.0,8.96997339414671
Census tract,Tract 305,17031030500,6786,-87.66493590,41.98722600,61.7612809315866,5.12372634643377,7.03056768558952,19.7525473071325,0.0,6.33187772925764,6786.0,88.6648122392211,0.643802474677746,96477.3903591473,8.5,5.09621166566446,10.0571256764883,43.95,119.2,1.77353342428377,0.27,39.0179163901792,10.445937690898,9.858018904,0.0,4.1040288634997
Census tract,Tract 306.01,17031030601,3353,-87.65490420,41.98888020,37.3775433308214,24.1396634011555,22.2808339613163,12.082391358955,0.0,4.11956794775182,3353.0,78.4196794632874,0.733516666666667,36977.607666541,79.7,4.22579627877641,14.2857142857143,84.9999045403897,53.6,18.1069958847737,0.46,39.9536321483771,10.5207785376118,9.830090411,0.0,11.8259224219489
Census tract,Tract 306.03,17031030603,2410,-87.65839790,41.98547620,45.6900212314225,21.4012738853503,11.8471337579618,17.4522292993631,0.0,3.60934182590234,2410.0,93.7841869716559,0.818605975099626,44612.6387896803,33.8,5.60165975103734,9.54356846473029,63.25,64.6,6.05442176870748,0.23,40.0305576776165,9.53846153846154,9.849885205,0.0,14.7717842323651
Census tract,Tract 306.04,17031030604,3763,-87.65253710,41.98566080,50.9029690847873,21.3345576981941,16.2228344046526,7.1319253137435,0.0,4.16284052647689,3763.0,94.718641936498,0.759849685983755,50383.9925464185,38.9,6.27159181504119,14.5362742492692,64.48,26.4,6.05419136325148,0.6,40.0966183574879,12.1279761904762,9.833199178,0.0,8.53042785011959
