Layer,Name,GEOID,Population,Longitude,Latitude,LDPP_2021,LDPP_2021_se,LDPPH_2016,LDPPH_2016_se,LDPP_2020,LDPP_2020_se,LDPP_2019,LDPP_2019_se,LDPP_2018,LDPP_2018_se,LDPP_2017,LDPP_2017_se,LDPPH_2015,LDPPH_2015_se,LDPPH_2014,LDPPH_2014_se,LDPPH_2013,LDPPH_2013_se,LDPPH_2012,LDPPH_2012_se,LDPPH_2011,LDPPH_2011_se,LDPPH_2006,LDPPH_2006_se,LDPPH_2007,LDPPH_2007_se,LDPPH_2008,LDPPH_2008_se,LDPPH_2009,LDPPH_2009_se,LDPPH_2010,LDPPH_2010_se,LDPPH_2005,LDPPH_2005_se,LDPPH_2004,LDPPH_2004_se,LDPPH_2003,LDPPH_2003_se,LDPPH_2002,LDPPH_2002_se,LDPPH_2001,LDPPH_2001_se,LDPPH_1996,LDPPH_1996_se,LDPPH_1997,LDPPH_1997_se,LDPPH_1998,LDPPH_1998_se,LDPPH_1999,LDPPH_1999_se,LDPPH_2000,LDPPH_2000_se
,,,,,,"Lead poisoning rate (% of children ages 1-5), 2021",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2016",(Standard error),"Lead poisoning rate (% of children ages 1-5), 2020",(Standard error),"Lead poisoning rate (% of children ages 1-5), 2019",(Standard error),"Lead poisoning rate (% of children ages 1-5), 2018",(Standard error),"Lead poisoning rate (% of children ages 1-5), 2017",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2015",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2014",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2013",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2012",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2011",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2006",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2007",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2008",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2009",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2010",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2005",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2004",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2003",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2002",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2001",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 1996",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 1997",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 1998",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 1999",(Standard error),"Lead poisoning rate (historical) (% of children ages 1-5), 2000",(Standard error)
Community area,North Center,5,35150,-87.68383900,41.94781100,0.0,,0.1555209953,0.1554000144,0.3120124805,0.2202816813,0.2836879433,0.2003129306,0.4830917874,0.2782386546,0.6369426752,0.3174554775,0.1322751323,0.1321876198,0.1672240803,0.1670842023,0.1748251748,0.1746722888,0.4958677686,0.2855786992,0.9242144177,0.4114068319,1.6587677725,0.6217336767,0.2680965147,0.2677368948,0.5464480874,0.3853399721,0.5555555556,0.319857936,1.1787819253,0.4783909378,1.1135857461,0.4952300345,0.2252252252,0.2249714502,1.0416666667,0.4634148547,1.3483146067,0.54672366,4.4230769231,0.901648152,9.8646034816,1.3114212957,9.8969072165,1.3559657791,8.1927710843,1.3462626629,5.8962264151,1.1439516454,3.9800995025,0.9750223345
Community area,Pullman,50,6866,-87.59825200,41.70613100,3.5714285714,1.5684108315,0.6993006993,0.6968513023,4.6296296296,2.0219386839,5.9210526316,1.9143612355,1.3422818792,0.942745054,2.8368794326,1.3981752504,0.5128205128,0.5115038983,1.0526315789,0.7403950747,0.5076142132,0.5063242131,0.9478672986,0.6670593224,3.9647577093,1.2951221044,3.6144578313,1.182845045,2.0920502092,0.9257550279,2.3622047244,0.9529078193,1.5267175573,0.7575091999,2.2935779817,1.013888188,3.4334763948,1.1928954196,5.1383399209,1.3880225291,7.3643410853,1.6260960393,6.5972222222,1.4627301352,9.0551181102,1.8006086537,17.727272727,2.5747648387,18.222222222,2.573517126,22.175732218,2.6871849313,17.156862745,2.639563555,15.584415584,2.3864403651
Community area,South Deering,51,14125,-87.57005800,41.69063900,2.0467836257,0.7656534864,0.4866180049,0.343252666,1.4134275618,0.7017015632,1.7811704835,0.6671966342,1.3636363636,0.5528934885,2.4509803922,0.7655107457,0.4415011038,0.3114985044,0.5825242718,0.33533954,0.1964636542,0.1962705695,0.2057613169,0.2055495193,0.1923076923,0.1921226921,1.568627451,0.5502266075,1.5841584158,0.5556305555,0.5882352941,0.3386174562,0.5870841487,0.3379567564,0.7936507937,0.395247556,1.8711018711,0.6178380334,2.8248587571,0.7189996827,4.4722719141,0.8742243946,4.4750430293,0.857766275,5.6776556777,0.9903654871,11.632270169,1.3887225409,12.050739958,1.4968985994,9.5528455285,1.3251995517,9.429280397,1.4557294275,7.8167115903,1.3936418762
Community area,East Side,52,21529,-87.53490700,41.70730600,1.5957446809,0.5276538245,0.3210272873,0.226635912,2.2624434389,0.7073078358,1.0869565217,0.4085920715,1.8575851393,0.5312347487,3.0303030303,0.7033440645,0.8902077151,0.3618045395,0.3947368421,0.2274511718,0.3870967742,0.2230574452,1.0075566751,0.3544259506,1.0309278351,0.341866669,1.9255455712,0.4923638084,1.6181229773,0.4144035312,1.6009852217,0.4404646121,1.5222482436,0.4189699433,0.8383233533,0.3155255084,3.1806615776,0.6259339584,1.6241299304,0.4305276467,2.3602484472,0.5350498578,3.3292231813,0.6299537015,6.8181818182,0.949978004,8.1260364842,1.1126970949,10.766423358,1.3240658902,9.3699515347,1.1712765647,8.5616438356,1.157807504,6.4748201439,1.2050639738
Community area,West Pullman,53,25788,-87.63574500,41.67382000,3.6101083032,0.7925396144,0.2919708029,0.2061529209,3.0172413793,0.7941331106,4.132231405,0.738686762,4.6703296703,0.7820276791,4.9689440994,0.8562920248,1.2376237624,0.3889416072,1.3664596273,0.4091784692,1.2557077626,0.3762255078,0.8474576271,0.2983492335,1.1363636364,0.3406742241,4.5497630332,0.6415886382,3.2229965157,0.5212487895,2.5112107623,0.4685775601,1.8356643357,0.396881165,2.3092369478,0.475917123,5.5555555556,0.6970117155,7.3784722222,0.7702167409,8.3922261484,0.8241030862,12.600969305,0.9431808242,14.467408585,0.9917926101,28.775356875,1.2408991082,31.591639871,1.3180457488,28.75,1.30653406,26.307053942,1.2683979856,20.0324412,1.1398358683
Community area,Riverdale,54,7229,-87.60284900,41.66013700,0.6006006006,0.4234114952,0.0,,0.4081632653,0.4073294273,0.5347593583,0.3771195652,0.6622516556,0.466729456,0.6535947712,0.6514553391,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.7543859649,1.7389285185,1.4492753623,1.438735038,2.9090909091,1.0134482648,3.2374100719,1.0615249368,6.5853658537,1.2249136773,12.458471761,1.3459880447,10.654685494,1.1054458649,13.69047619,1.8752924222,5.4279749478,1.035219645,4.1501976285,0.8866551509
Community area,Hegewisch,55,9884,-87.55680300,41.66818800,0.0,,0.5494505495,0.5479389907,0.0,,1.5706806283,0.8996829726,0.9661835749,0.6798864881,1.1299435028,0.7944638172,1.0256410256,0.7215089709,0.5434782609,0.5419994057,0.5747126437,0.5730587909,0.5434782609,0.5419994057,0.9345794393,0.6577521378,1.3422818792,0.942745054,1.5706806283,0.8996829726,0.0,,1.5957446809,0.9139232328,0.0,,1.2048192771,0.846788185,0.0,,0.0,,1.7699115044,1.2403916157,4.3859649123,1.9179663092,4.9180327869,1.9577844458,7.1428571429,2.6015405682,7.8431372549,2.6620037483,6.3636363636,2.3274405931,6.976744186,2.7470903406
Community area,Garfield Ridge,56,35352,-87.76424600,41.79618500,0.5376344086,0.3095678283,0.1349527665,0.1348616745,0.1949317739,0.1947416892,0.58910162,0.2936819267,0.9957325747,0.3744731227,1.244813278,0.4123470716,0.3821656051,0.2202213998,0.1288659794,0.1287829204,0.2463054187,0.1739496116,0.5889281508,0.2625999809,0.1100110011,0.1099504723,0.5856515373,0.2919670402,0.1438848921,0.1437813405,0.7792207792,0.3168737159,0.7518796992,0.3057974637,0.0,,1.2578616352,0.4419154057,0.7285974499,0.3629691631,1.2526096033,0.5081628656,1.5873015873,0.5951631046,3.4557235421,0.8488721128,8.7209302326,1.5212051518,9.022556391,1.4343172428,7.7102803738,1.2894065268,5.5696202532,1.1539051532,3.4398034398,0.9033762719
Community area,Archer Heights,57,14282,-87.72636500,41.81087300,1.6826923077,0.630624266,0.1697792869,0.1696351007,0.9638554217,0.479599544,1.1342155009,0.4604081063,0.9746588694,0.4337513212,1.593625498,0.5589241722,0.7155635063,0.3564993771,0.6568144499,0.3273269351,0.1481481481,0.1480383681,0.7429420505,0.3310172582,0.5555555556,0.2770050982,0.9756097561,0.3963433701,0.9146341463,0.3716862921,0.9419152276,0.3827199985,1.2139605463,0.4265867539,1.4354066986,0.4750225,1.581027668,0.5545412916,1.8181818182,0.6005256901,1.6853932584,0.6822360283,3.355704698,1.0432102553,5.035971223,1.3115920856,5.6179775281,2.4408418176,6.4,2.1891368162,4.6052631579,1.7000732705,5.4945054945,1.6891069212,1.7699115044,0.8770893228
Community area,Brighton Park,58,45141,-87.69885900,41.81736400,2.102973169,0.3863843112,0.3664681631,0.1293284345,2.4426350851,0.4199829421,1.0309278351,0.2417362399,1.7127071823,0.3049656736,2.7605633803,0.3888847382,0.7166746297,0.1843803176,0.6773920406,0.1687734605,0.8513931889,0.1807432716,1.3413342746,0.2161288998,1.0217534608,0.18257241,2.2239563012,0.2912762347,1.6877637131,0.2522836436,1.3956734124,0.2191299781,1.3629842181,0.2195932524,1.4285714286,0.2271146671,3.3333333333,0.3575835024,3.2664305392,0.3526330292,3.9120879121,0.4064882353,5.7522123894,0.5162708026,6.7574137093,0.5534523859,11.859838275,0.969122603,13.197969543,0.9844864991,9.5851216023,0.7873451907,9.6473719228,0.7615447267,7.2337962963,0.6231694585
Community area,McKinley Park,59,15927,-87.67250000,41.82992700,0.5747126437,0.4052137571,0.3454231434,0.2438288323,1.7595307918,0.7119778131,1.1848341232,0.5267255111,0.8888888889,0.4424647266,1.8867924528,0.6607586754,0.1776198934,0.1774620792,0.1560062402,0.155884503,1.3636363636,0.451435643,1.1940298507,0.4196254154,0.6802721088,0.3031903844,0.837520938,0.3729789816,0.3401360544,0.2401031273,0.9389671362,0.3815278041,1.5358361775,0.5079988595,1.3931888545,0.4611499797,1.3888888889,0.4876244082,1.1945392491,0.4487886633,1.7857142857,0.5898995291,2.9227557411,0.7696392792,3.2327586207,0.8210920159,10.542168675,1.6854082726,12.753623188,1.7958950087,7.9518072289,1.328056361,7.4792243767,1.3845043118,6.1135371179,1.1194766163
Community area,Lake View,6,91836,-87.65600100,41.94423600,0.1908396947,0.1348152173,0.289017341,0.1666229319,0.1793721973,0.1267214924,0.1583531275,0.1118838791,0.7448789572,0.2623718115,1.0251630941,0.3075098405,0.1699235344,0.120051955,0.2066115702,0.1459454383,0.2209944751,0.1560939261,0.2207505519,0.1559218276,0.5102040816,0.2544504381,0.7246376812,0.3228915292,0.9174311927,0.4084013121,0.0,,0.5333333333,0.2659546049,0.260756193,0.184141921,1.2544802867,0.4711655415,1.3812154696,0.4337517666,0.9259259259,0.3762535709,1.7379679144,0.4778184871,1.3513513514,0.4244376003,6.3683304647,1.0130622054,7.4954296161,1.1258646862,4.6956521739,0.8822067864,3.3644859813,0.7795623409,2.0588235294,0.5445500012
Community area,Bridgeport,60,33593,-87.64878400,41.83615100,0.3048780488,0.2152524548,0.2506265664,0.1769975255,0.7680491551,0.3421604263,0.3911342894,0.225379422,0.2699055331,0.1905942986,0.7853403141,0.3193524043,0.1233045623,0.1232285187,0.118623962,0.1185535829,0.0,,0.4842615012,0.2415437661,0.7185628743,0.2922962053,0.5961251863,0.2971728521,0.5673758865,0.28288201,0.3025718608,0.2136266922,0.0,,0.4172461752,0.2403940991,1.0050251256,0.4082327748,0.9983361065,0.4055294513,1.7077798861,0.5643781762,3.3613445378,0.8260921173,3.3112582781,0.7280580589,8.4229390681,1.1757313016,12.430426716,1.4211020073,8.1428571429,1.0337031847,7.8431372549,1.0441237737,4.5307443366,0.8366085696
Community area,New City,61,43510,-87.65917100,41.80901700,3.8059701493,0.5227022255,0.8722421755,0.2106251672,4.2087542088,0.5825476736,3.0144927536,0.4116859002,3.3506643559,0.4325301297,4.4950738916,0.5141481667,1.0422380691,0.2378565219,1.0571840461,0.2241978241,1.248328132,0.2344347411,1.6153268219,0.244337373,0.8139104698,0.1728186781,4.3833580981,0.3945778405,3.5476718404,0.3556019893,1.7843866171,0.2552458004,1.2443438914,0.215260547,0.7249295207,0.1702470656,5.8221872541,0.4644399947,6.9361870789,0.5058155714,9.7804391218,0.5935067553,15.158924205,0.7239357018,16.578549849,0.7226918331,38.930659983,0.9965415785,38.294091515,1.0245697121,28.905597327,0.9265025223,23.795559279,0.8715892977,20.758043191,0.8514390282
Community area,West Elsdon,62,18249,-87.72421300,41.79297700,1.7475728155,0.5774118195,0.0,,0.4385964912,0.3094536861,1.3468013468,0.4729488067,0.7668711656,0.3416376681,0.4559270517,0.262628853,0.3973509934,0.2289544665,0.3911342894,0.225379422,0.2427184466,0.1714194467,0.2309468822,0.1631154246,0.2257336343,0.1594375263,0.8595988539,0.3494182131,0.3921568627,0.2259674893,0.6702412869,0.2987348329,0.4968944099,0.2478291761,0.7832898172,0.3185218774,0.4601226994,0.2650400972,1.4778325123,0.4889573074,1.6666666667,0.5843245547,1.6997167139,0.6879839465,2.9972752044,0.8900660689,4.1379310345,1.6539829257,3.9800995025,1.378889809,4.9019607843,1.5116651948,3.29218107,1.1446415702,1.5772870662,0.6997991423
Community area,Gage Park,63,39439,-87.69643300,41.79542900,2.2222222222,0.4011870817,0.6612410987,0.1827879354,2.1996615905,0.4266181973,2.1276595745,0.3609879211,2.4705882353,0.3764814012,2.0011435106,0.3348534029,0.6542526422,0.1808624667,0.5519779209,0.1589019249,0.6263048017,0.1612040065,0.8991399531,0.1866388671,0.8562918838,0.1777831057,2.299731698,0.2934603453,1.5384615385,0.2384119521,1.2523020258,0.2134190167,0.6711409396,0.1576577058,0.6700827749,0.1619735237,3.4122842232,0.3637447075,3.5773710483,0.3787950075,5.1796546897,0.4787293837,6.3862138875,0.5504629489,6.9680851064,0.587210454,15.579710145,0.9762556561,16.866566717,1.0252346785,11.398277005,0.8180805501,11.251758087,0.8379927749,8.596165739,0.6970751282
Community area,Clearing,64,24519,-87.76851700,41.77958200,0.488997555,0.3449270391,0.2066115702,0.2063980182,0.2617801047,0.2614372361,0.4514672686,0.3185141299,0.6666666667,0.3836150334,0.6976744186,0.401394929,0.4347826087,0.30676866,0.4016064257,0.2834078151,0.7604562738,0.3787796435,0.0,,0.3527336861,0.2489800979,0.0,,0.6237006237,0.3589690131,0.8695652174,0.4328881221,0.1964636542,0.1962705695,0.404040404,0.2851219543,0.8571428571,0.4927462164,1.2232415902,0.6078684849,2.1201413428,0.8563195446,1.593625498,0.7904381446,1.9704433498,0.9754667646,3.4482758621,1.3832682019,2.2222222222,1.0986960722,1.0695187166,0.7522088734,1.9900497512,0.9850743768,0.5154639175,0.5141336858
Community area,West Lawn,65,33543,-87.72692700,41.76977400,1.5086206897,0.4001429332,0.5050505051,0.1904084894,0.8353221957,0.3144006997,1.051625239,0.3154053028,1.7108639863,0.3792741515,1.114922813,0.3074953156,0.4310344828,0.1755894374,0.4002668446,0.1630808926,0.4444444444,0.1676104963,0.3761755486,0.1532839004,0.2992220227,0.1336158029,0.7194244604,0.2266821603,0.6535947712,0.2060082665,0.394218134,0.1606213409,0.6451612903,0.2033587263,0.3431708991,0.153207132,1.0989010989,0.2920755132,1.2851405622,0.3192139819,1.4207650273,0.3912400483,2.6041666667,0.5746771995,3.4722222222,0.6822816043,7.0028011204,1.3506310264,7.5,1.3881942707,4.9608355091,1.1095051728,2.6905829596,0.7661842139,2.3569023569,0.6224412227
Community area,Chicago Lawn,66,55789,-87.69566700,41.77184900,1.878914405,0.3101965176,0.7908264136,0.1761335484,2.5516403402,0.3886709491,2.921936328,0.3517174366,3.3043478261,0.3727197735,3.7470725995,0.4110116079,0.7341576507,0.1678079163,0.989010989,0.1893916965,1.0678608336,0.1907666753,1.0086956522,0.1863629916,1.2654012654,0.2039722792,4.9731182796,0.398493434,3.2669570629,0.3135712245,2.3454833597,0.2694403684,1.6124031008,0.221790086,1.65317139,0.2342070806,4.8805116123,0.3952902498,5.9846903271,0.4424627865,7.2484673639,0.492389413,11.093810821,0.6196184249,13.340724316,0.6536320454,25.662878788,0.9504047511,24.291300098,0.9480810349,21.969365427,0.866160199,18.100890208,0.7927305354,15.641766405,0.7379550847
