Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
3630 W 116TH ST,Chicago,IL,,2019-08-19T00:00:00Z,1.2,3.2,1.4,FALSE,3630 W 116TH ST,NA,NA,NA,NA,NA,NA
3630 W LE MOYNE ST,Chicago,IL,,2018-11-24T00:00:00Z,< 1,< 1,< 1,FALSE,3630 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3630 W MCLEAN AVE,Chicago,IL,,2017-01-26T00:00:00Z,1.3,1.6,1.6,FALSE,3630 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
3630 W MCLEAN AVE,Chicago,IL,,2019-05-05T00:00:00Z,5.9,1.8,1.3,FALSE,3630 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
3730 W MCLEAN AVE,Chicago,IL,,2019-10-13T00:00:00Z,2.9,1.1000000000000001,< 1,FALSE,3730 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
3930 N LAKE SHORE DR,Chicago,IL,,2016-08-18T00:00:00Z,< 1,< 1,< 1,FALSE,3930 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3930 N LAKE SHORE DR,Chicago,IL,,2016-12-02T00:00:00Z,< 1,< 1,< 1,FALSE,3930 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3930 N LAKE SHORE DR,Chicago,IL,,2018-10-26T00:00:00Z,< 1,< 1,< 1,FALSE,3930 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3930 N LAKE SHORE DR,Chicago,IL,,2020-11-03T00:00:00Z,< 1,< 1,< 1,FALSE,3930 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3930 W ROSEMONT AVE,Chicago,IL,60659,2019-08-23T00:00:00Z,2.2000000000000002,7.1,1.2,FALSE,3930 W ROSEMONT AVE,-87.72725659999998,41.995525427000075,17,31,130100,1006
4030 N MCVICKER AVE,Chicago,IL,,2019-08-28T00:00:00Z,3.7,6.9,4.8,FALSE,4030 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4130 N KEDVALE AVE,Chicago,IL,60641,2018-07-29T00:00:00Z,< 1,< 1,< 1,FALSE,4130 N KEDVALE AVE,-87.73099375799995,41.95601619300004,17,31,160300,3007
4130 N KEDVALE AVE,Chicago,IL,60641,2021-09-21T05:56:00Z,1.1000000000000001,<1.0,<1.0,FALSE,4130 N KEDVALE AVE,-87.73099375799995,41.95601619300004,17,31,160300,3007
4130 N MCVICKER AVE,Chicago,IL,,2019-09-20T00:00:00Z,5.2,5.9,3.3,FALSE,4130 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4130 N MCVICKER AVE,Chicago,IL,,2020-01-21T00:00:00Z,2.5,18,2,FALSE,4130 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4130 N MCVICKER AVE,Chicago,IL,,2020-02-24T00:00:00Z,7.3,9.8000000000000007,3.1,FALSE,4130 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4130 N MCVICKER AVE,Chicago,IL,,2021-07-29T06:30:00Z,2,7.3,4.4000000000000004,FALSE,4130 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4330 S ST LAWRENCE AVE,Chicago,IL,,2018-12-02T00:00:00Z,3.3,2.6,1,FALSE,4330 S ST LAWRENCE AVE,NA,NA,NA,NA,NA,NA
4430 N MCVICKER AVE,Chicago,IL,,2018-08-23T00:00:00Z,4,15,2.9,FALSE,4430 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4530 N MCVICKER AVE,Chicago,IL,,2018-04-18T00:00:00Z,1.4,1.1000000000000001,< 1,FALSE,4530 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4530 N MCVICKER AVE,Chicago,IL,,2019-04-02T00:00:00Z,< 1,1.3,< 1,FALSE,4530 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4530 N MCVICKER AVE,Chicago,IL,,2019-04-08T00:00:00Z,1.7,2.4,1.4,FALSE,4530 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4530 N MCVICKER AVE,Chicago,IL,,2019-06-08T00:00:00Z,1.9,1.7,1.4,FALSE,4530 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4530 N MCVICKER AVE,Chicago,IL,,2019-10-02T00:00:00Z,< 1,< 1,< 1,FALSE,4530 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4530 N MCVICKER AVE,Chicago,IL,,2019-10-09T00:00:00Z,6.3,13,2,FALSE,4530 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4530 S ST LAWRENCE AVE,Chicago,IL,,2019-07-23T00:00:00Z,< 1,< 1,< 1,FALSE,4530 S ST LAWRENCE AVE,NA,NA,NA,NA,NA,NA
4630 S ST LAWRENCE AVE,Chicago,IL,,2018-09-23T00:00:00Z,1.7,3.5,2,FALSE,4630 S ST LAWRENCE AVE,NA,NA,NA,NA,NA,NA
4730 S ST LAWRENCE AVE,Chicago,IL,,2018-01-05T00:00:00Z,< 1,< 1,< 1,FALSE,4730 S ST LAWRENCE AVE,NA,NA,NA,NA,NA,NA
4730 W BELLE PLAINE AVE,Chicago,IL,60641,2021-11-06T09:48:00Z,5.0999999999999996,6.8,2.8,FALSE,4730 W BELLE PLAINE AVE,-87.74615709199998,41.95534802200007,17,31,831700,1012
4830 N MCVICKER AVE,Chicago,IL,,2016-09-10T00:00:00Z,4.3,3.8,3.5,FALSE,4830 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4830 N MCVICKER AVE,Chicago,IL,,2021-10-18T07:00:00Z,3.7,12,4.4000000000000004,FALSE,4830 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4830 S SAINT LAWRENCE AVE,Chicago,IL,,2019-07-25T00:00:00Z,4.5,3.2,2.1,FALSE,4830 S SAINT LAWRENCE AVE,NA,NA,NA,NA,NA,NA
4930 N MCVICKER AVE,Chicago,IL,,2019-12-10T00:00:00Z,< 1,< 1,< 1,FALSE,4930 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
4930 N MCVICKER AVE,Chicago,IL,,2020-01-22T00:00:00Z,1.4,1.2,< 1,FALSE,4930 N MCVICKER AVE,NA,NA,NA,NA,NA,NA
