blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE,totalPopulationBG,pAllChildrenUnder5BG,pAllChildrenUnder10BG,totalChildrenUnder5BG,totalChildrenUnder10BG,pAllChildrenUnder5BG_MOE,pAllChildrenUnder5BG_MOE2,pAllChildrenUnder10BG_MOE,pAllChildrenUnder10BG_MOE2
171079535003,118,7,12,11,16,13.038404810405298,23.874672772626646,675,0.035555555555555556,0.09481481481481481,24,64,0.018288786197767404,0.02029157481821026,0.031245752427360596,0.03906098524636589
171079536001,142,13,31,18,18,22.20360331117452,42.16633728461603,519,0.05394990366088632,0.13680154142581888,28,71,0.040154383927950406,0.04525638653515799,0.07211000512874252,0.0894525648092565
171079536002,362,67,85,2,88,67.02984409947557,139.50627226042562,1326,0.05429864253393665,0.2398190045248869,72,318,0.048328092579791586,0.052679060706801624,0.08235503413513205,0.12391627101781512
171079536003,201,25,13,16,13,29.68164415931166,34.91418050019218,714,0.06302521008403361,0.09523809523809523,45,68,0.03759454476731425,0.04519883492207014,0.04089422456176409,0.055767082372904474
171079536004,131,12,4,18,9,21.633307652783937,23.769728648009426,622,0.05466237942122187,0.07395498392282958,34,46,0.03281961880086091,0.03663608121410683,0.034896744149553516,0.041267291715126164
171090101001,143,9,11,24,13,25.632011235952593,30.773365106858236,491,0.06517311608961303,0.11608961303462322,31.999999999999996,57,0.04863065113488384,0.055547367478590466,0.05277319225063426,0.07121285592384487
171090101002,237,71,33,38,12,80.52949770115296,87.8521485223896,1140,0.14298245614035088,0.17982456140350878,163,205,0.064081225460742,0.07663935273545389,0.06738800763209145,0.08565253759722893
171090101003,167,17,12,51,29,53.75872022286245,62.24949798994366,490,0.09387755102040816,0.15714285714285714,46,77,0.10494270454393197,0.11428180762268753,0.11519883845879565,0.13786749082781283
171090101004,216,28,36,22,14,35.608987629529715,52.53570214625479,775,0.0696774193548387,0.12387096774193548,53.99999999999999,96,0.04164140639664525,0.04988247932543875,0.05833784497949745,0.07607313903123704
171090101005,171,17,12,10,12,19.72308292331602,26.019223662515376,480,0.03125,0.03125,15,15,0.03955285756295491,0.04257120587575259,0.053051187935760684,0.05533812040280833
171090102001,188,19,12,12,6,22.47220505424423,26.1725046566048,786,0.04834605597964377,0.07633587786259542,38,60,0.02614771613682333,0.03084057076556431,0.0278461683741317,0.0379756684747285
171090102002,171,12,5,14,18,18.439088914585774,26.248809496813376,572,0.027972027972027972,0.08566433566433566,16,49,0.031132669472428626,0.03330312493897398,0.038078932833715294,0.05255180556137891
171090102003,132,23,14,22,23,31.827660925679098,41.689327171351664,622,0.06913183279742766,0.18488745980707397,43,115.00000000000001,0.04902158468479211,0.05323153214245368,0.05433962099420949,0.07766473327622066
171090103001,251,35,8,11,57,36.68787265568828,68.25686778632608,737,0.03934871099050204,0.1614654002713704,29,118.99999999999999,0.047942295439265745,0.05155226985577773,0.0745218969842782,0.10770964991035867
171090103002,236,61,35,16,32,63.06346010171025,78.90500617831546,1435,0.089198606271777,0.1505226480836237,128,216,0.04142598273352292,0.0463304022492874,0.049098475573291764,0.06030153256545104
171090104011,262,32,12,12,12,34.17601498127012,38.157568056677825,581,0.03270223752151463,0.03270223752151463,19,19,0.056944204290400806,0.06064312254154844,0.06399860569865921,0.06731097563321167
171090104012,120,41,12,23,12,47.01063709417264,49.9799959983992,272,0.16544117647058823,0.16544117647058823,45,45,0.15666513738371624,0.1876131173115698,0.16863184407303536,0.19771549092415266
171090104021,186,62,12,12,12,63.150613615387776,65.39113089708727,404,0.09653465346534654,0.09653465346534654,39,39,0.1498619184257921,0.1625089642717479,0.15563780865583798,0.1678502200106056
171090104022,362,12,12,12,12,16.97056274847714,24,1004,0,0,0,0,0.016902950944698344,0.016902950944698344,0.02390438247011952,0.02390438247011952
171090104023,422,12,122,12,12,16.97056274847714,123.75782803523985,1117,0,0.09310653536257833,0,104,0.015192983660230206,0.015192983660230206,0.10506276169403979,0.1162445954670289
171090104024,337,33,53,28,30,43.278170016764804,74.7127833774114,1108,0.04422382671480144,0.11101083032490974,49,123,0.03667068451692745,0.04131082650133179,0.05836806146059675,0.07541129086384202
171090106001,230,24,12,11,52,26.40075756488817,59.53990258641679,1222,0.016366612111292964,0.06792144026186579,20,83,0.02138380845356287,0.021823054739120173,0.0470163178126442,0.05037251797922559
171090106002,299,12,36,54,29,55.31726674375732,72.09022125087424,1163,0.058469475494411005,0.09630266552020636,68,112,0.04512644889165574,0.0498831290474508,0.056827098532060874,0.06674815768693294
171090107001,194,12,12,12,12,16.97056274847714,24,572,0,0,0,0,0.029668815993841153,0.029668815993841153,0.04195804195804196,0.04195804195804196
171090107002,395,42,12,12,22,43.68065933568311,50.35871324805669,1145,0.04017467248908297,0.05240174672489083,46,60,0.03554247140773499,0.04058857437308096,0.040094511198638806,0.04755164390684753
171090107003,265,12,12,42,61,43.68065933568311,75.9802605944465,922,0.0368763557483731,0.1399132321041215,34,129,0.04617516950534127,0.04854710980257197,0.07193020290361898,0.09169641804528372
171090107004,223,12,25,41,54,42.720018726587654,73.25298628724975,1178,0.042444821731748725,0.10865874363327674,50,128,0.0353635428110045,0.037144335529667886,0.05868363702058712,0.06549793835019867
171090109001,255,12,32,42,12,43.68065933568311,55.46169849544819,828,0.043478260869565216,0.07004830917874397,36,58.00000000000001,0.051026811523384064,0.054427217976778096,0.06341370511575013,0.07037097136436822
171090109002,333,28,35,16,12,32.2490309931942,49.08156476723211,1100,0.025454545454545455,0.045454545454545456,28,50,0.028286481008684247,0.030313087216714746,0.04244481585870232,0.046693209233667314
171090109003,178,12,12,41,12,42.720018726587654,45.967379738244816,573,0.04537521815008726,0.04537521815008726,26,26,0.07321039927424107,0.0758757894695193,0.07897424579664442,0.08145123918564913
171090110001,164,23,20,14,12,26.92582403567252,35.62302626111375,676,0.05473372781065089,0.10059171597633136,37,68,0.03755256913387093,0.041986160916999624,0.04670546423578031,0.05807324499986085
171090110002,135,12,17,12,12,16.97056274847714,26.851443164195103,380,0,0.031578947368421054,0,12,0.04465937565388721,0.04465937565388721,0.06976541047230649,0.07154674755792972
171090110003,248,18,25,35,31,39.35733730830886,55.991070716677676,931,0.05692803437164339,0.12137486573576799,53,113,0.03946075282029896,0.044911861803761284,0.05071059538044281,0.06828076981420096
171090111001,180,12,12,15,27,19.209372712298546,35.24202037341219,488,0.03278688524590164,0.09016393442622951,16,44,0.03745970316804245,0.041179314837211385,0.06410375406053562,0.07950705953184353
171090111002,136,42,21,8,14,42.7551166528639,49.64876634922564,510,0.0803921568627451,0.14705882352941177,41,75,0.08104617330693592,0.08653120852690319,0.08910249229413147,0.1049523426750795
171090111003,231,21,18,10,41,23.259406699226016,50.457903246171455,889,0.03487064116985377,0.10573678290213723,31.000000000000004,94,0.024544500824992994,0.02768811011733448,0.049664927627111236,0.06305827959282849
171090111004,282,23,14,74,32,77.4919350642375,85,853,0.08558030480656506,0.15005861664712777,73,127.99999999999999,0.0863283494527934,0.09515006076957426,0.08642178361239035,0.11131416239527463
171099800001,308,12,12,12,12,16.97056274847714,24,2299,0,0,0,0,0.007381714984113588,0.007381714984113588,0.010439321444106133,0.010439321444106133
