AffectedChildren_T,AffectedChildrenUnfiltered_T,MeanBLLIncrease,AffectedChildren_A,AffectedChildren_B,AffectedChildren_H,AffectedChildren_W,AffectedChildrenUF_A,AffectedChildrenUF_B,AffectedChildrenUF_H,AffectedChildrenUF_W,ChildPopulation_T,ChildPopulation_A,ChildPopulation_B,ChildPopulation_H,ChildPopulation_W
117092.89885365644,21326.724730450765,0.6990243932060533,6130.256850578259,35287.36620946107,43805.82735884403,35709.28762757142,1397.118973501952,4919.8638102377345,7438.44226925885,8148.268650263299,189674.02230976862,11635.504022605652,58240.3484688281,60607.13803523577,63468.172841978856
119169.4323837796,22886.711588726073,0.979015975184787,5894.7344974943235,36959.99373386465,44778.458101040065,35559.918926844664,1422.9852587530443,5570.852438691988,8192.579498083285,8356.221442269632,191731.62089472852,11837.261566620668,58669.562493620666,61871.76874913154,63872.64630200033
120091.38591970432,21714.441485100167,1.6801772883174542,6027.235105190984,36980.56145135842,45033.68308163286,36103.56263148437,1341.5284233669217,4942.426878321313,7632.381878597985,8400.6761671938,191659.7745791553,12000.782732155696,58788.485760042415,61520.63817303441,63832.66787988969
118417.20472002024,19750.021913582874,0.7552792617623512,5928.1993082679865,36545.657960473065,44415.917724692226,35601.95408723044,1248.0015192888018,4707.367097812705,6968.316785853565,7399.980166781905,190733.55279405141,11820.862664108097,58489.57860488701,61028.00621783909,63837.141991167286
119672.12065075805,22256.225500184188,1.3362429931317215,5778.448644515972,37214.138478818655,44984.44311952678,35776.79811896402,1310.9131527612794,5788.787029569392,7775.241114834086,8006.567744963984,190606.7330889964,11724.644958883417,58310.77412677707,61252.68074766914,63762.56491771292
118233.13783865992,21708.21341211467,1.227141914268177,5901.316835472774,36630.11748642621,44245.274323418154,35407.49295820528,1430.9377564418987,5201.360561490643,7574.551174130075,8089.173706373481,190384.72102378018,11760.185109941482,59057.147352561515,60504.544978370766,63435.464213043975
118101.20225571342,21630.957313719293,1.57055950743435,5808.000322321573,36239.78625397215,44897.1424546489,35237.26666482425,1260.6288698285757,5305.726426841456,7568.238805251212,8104.485951430665,190164.30178450918,11812.632536549596,58407.1687612391,61121.730263911835,63275.508496627524
117709.66605660038,22388.558031143868,0.774221431199877,5814.231382587106,36203.49017044077,43949.10162111477,35676.74013349194,1356.3786225278418,5402.104449964677,7861.219100811283,8371.9200013354,189538.06453925584,11912.995178535479,58228.336961589375,60421.07010272045,63332.459227651314
121098.63575462009,21673.312554830838,0.7547624105405913,6084.364133876363,38015.5344807637,44385.91751921904,36614.89152399301,1490.2816864020824,5320.989611402692,7122.9898462019455,8288.487211248059,191067.16047687415,11689.120456258726,58861.16493421972,60717.57495845781,64174.02644829144
119773.30195847386,22145.030615016116,1.0647226703440251,6099.1347028085165,36357.2583723189,45303.38143123282,36052.18214164517,1323.3189283809018,5553.137794346249,7386.659949913749,8435.786276157793,192049.53736169107,12018.331167195069,58422.81816743596,61956.57291800621,64128.49337414295
