Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
1830 S FEDERAL ST,Chicago,IL,,2019-10-22T00:00:00Z,< 1,< 1,< 1,FALSE,1849 S FEDERAL ST,NA,NA,NA,NA,NA,NA
130 N GARLAND CT,Chicago,IL,,2018-07-15T00:00:00Z,< 1,< 1,< 1,FALSE,149 N GARLAND CT,NA,NA,NA,NA,NA,NA
130 N GARLAND CT,Chicago,IL,,2018-08-26T00:00:00Z,< 1,< 1,< 1,FALSE,149 N GARLAND CT,NA,NA,NA,NA,NA,NA
130 N WOLCOTT AVE,Chicago,IL,,2020-10-14T00:00:00Z,< 1,< 1,< 1,FALSE,149 N WOLCOTT AVE,-87.67420411599994,41.884677889000045,17,31,280400,1026
130 W WACKER DR,Chicago,IL,,2019-04-25T00:00:00Z,< 1,< 1,< 1,FALSE,149 W WACKER DR,-87.63172975799995,41.88681684900007,17,31,839100,1014
2030 W 102ND ST,Chicago,IL,,2018-05-08T00:00:00Z,< 1,< 1,< 1,FALSE,2049 W 102ND ST,-87.67393628799994,41.70826630900007,17,31,720300,3024
2030 W 102ND ST,Chicago,IL,,2018-05-17T00:00:00Z,1.8,2,4,FALSE,2049 W 102ND ST,-87.67393628799994,41.70826630900007,17,31,720300,3024
2030 W MCLEAN AVE,Chicago,IL,,2016-09-26T00:00:00Z,< 1,< 1,< 1,FALSE,2049 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2030 W MCLEAN AVE,Chicago,IL,,2018-11-05T00:00:00Z,< 1,< 1,< 1,FALSE,2049 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2030 W MCLEAN AVE,Chicago,IL,,2019-08-12T00:00:00Z,< 1,< 1,< 1,FALSE,2049 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2130 W BYRON ST,Chicago,IL,,2020-06-09T00:00:00Z,1.5,2.7,3.8,FALSE,2149 W BYRON ST,-87.68142969699994,41.952237841000056,17,31,50500,2008
2130 W MCLEAN AVE,Chicago,IL,,2019-10-22T00:00:00Z,3.5,4.5999999999999996,2.7,FALSE,2149 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
22330 N LINCOLN AVE,Chicago,IL,,2017-02-13T00:00:00Z,< 1,< 1,< 1,FALSE,22349 N LINCOLN AVE,NA,NA,NA,NA,NA,NA
2230 W 112 ST,Chicago,IL,,2018-11-18T00:00:00Z,3.8,2.6,2.4,FALSE,2249 W 112 ST,-87.67728532899997,41.69019401500003,17,31,750500,1003
2330 W MCLEAN AVE,Chicago,IL,,2018-07-10T00:00:00Z,< 1,< 1,< 1,FALSE,2349 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2330 W MCLEAN AVE,Chicago,IL,,2019-03-28T00:00:00Z,1.4,1.3,< 1,FALSE,2349 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2330 W MCLEAN AVE,Chicago,IL,,2019-09-18T00:00:00Z,< 1,< 1,< 1,FALSE,2349 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2330 W MCLEAN AVE,Chicago,IL,,2019-12-19T00:00:00Z,< 1,1.3,1.3,FALSE,2349 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2330 W MCLEAN AVE,Chicago,IL,,2020-09-19T00:00:00Z,< 1,< 1,< 1,FALSE,2349 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2430 W 32ND PL,Chicago,IL,,2019-01-10T00:00:00Z,< 1,< 1,< 1,FALSE,2449 W 32ND PL,NA,NA,NA,NA,NA,NA
2430 W HOWARD ST,Chicago,IL,,2022-01-19T19:30:00Z,<0.5,<0.5,<0.5,FALSE,2449 W HOWARD ST,NA,NA,NA,NA,NA,NA
2430 W MCLEAN AVE,Chicago,IL,,2018-08-03T00:00:00Z,< 1,< 1,< 1,FALSE,2449 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2430 W MCLEAN AVE,Chicago,IL,,2019-04-23T00:00:00Z,< 1,< 1,< 1,FALSE,2449 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2530 N CAN PARK AVE,Chicago,IL,,2018-08-16T00:00:00Z,5,4.2,3.5,FALSE,2549 N CAN PARK AVE,NA,NA,NA,NA,NA,NA
2530 W HOWARD ST,Chicago,IL,,2019-10-30T00:00:00Z,1.9,3.9,< 1,FALSE,2549 W HOWARD ST,-87.69389120899996,42.01939067200004,17,31,20200,4003
2630 W HOWARD ST,Chicago,IL,,2021-08-02T08:10:00Z,1.2,2.9,<1.0,FALSE,2649 W HOWARD ST,NA,NA,NA,NA,NA,NA
2730 W RIVERVIEW PKWY,Chicago,IL,,2016-07-06T00:00:00Z,< 1,< 1,< 1,FALSE,2749 W RIVERVIEW PKWY,-87.69583966999994,41.94075158100003,17,31,210100,1010
2730 W SAINT GEORGES CT,Chicago,IL,,2021-10-27T22:36:00Z,4.4000000000000004,3.6,2.8,FALSE,2749 W SAINT GEORGES CT,NA,NA,NA,NA,NA,NA
28330 N SAWYER AVE,Chicago,IL,,2018-09-04T00:00:00Z,< 1,< 1,< 1,FALSE,28349 N SAWYER AVE,NA,NA,NA,NA,NA,NA
