blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE
171194031211,467,21,64,115,77,116.90166808048549,153.91880976670785
171194031212,637,81,84,85,70,117.41379816699569,160.4431363443136
171194031213,548,81,47,93,134,123.3288287465668,188.08242873804028
171194031221,421,76,52,58,57,95.60334722173695,122.85357137665962
171194031222,541,67,74,54,123,86.05230967266364,167.36188335460378
171194032001,380,12,12,12,12,16.97056274847714,24
171194032002,474,12,12,27,12,29.546573405388315,34.07345007480164
171194032003,441,155,98,79,93,173.97126199461795,220.2702885093675
171194033001,294,54,39,51,33,74.27651041883968,90.14987520790032
171194033002,212,26,12,25,52,36.069377593742864,64.41273166075166
171194033003,214,11,43,12,25,16.278820596099706,52.3354564325181
171194034011,428,68,12,46,41,82.09750300709517,92.54728521139883
171194034012,474,98,79,97,142,137.88763541376724,213.11499243366245
171194034031,411,25,62,40,28,47.16990566028302,82.78284846512591
171194034032,131,12,12,12,12,16.97056274847714,24
171194034041,429,80,106,119,76,143.39107364128355,193.83756085960223
171194034042,416,24,35,12,38,26.832815729997478,58.215118311311535
171194035021,171,83,12,12,12,83.86298349093002,85.56284240252891
171194035022,277,21,28,12,45,24.186773244895647,58.25804665451803
171194035023,539,35,68,82,98,89.15716460273958,148.91944130972288
171194035024,296,12,25,53,12,54.3415126767741,61.00819617067857
171194035311,475,67,136,100,87,120.37026210821342,201.38023736206094
171194035312,228,12,37,12,35,16.97056274847714,53.68426212587819
171194035313,549,103,93,109,59,149.96666296213968,186.06450494385004
171194035314,269,12,12,40,12,41.7612260356422,45.077710678338576
171194035315,158,12,62,12,12,16.97056274847714,65.39113089708727
171194035316,358,37,37,86,12,93.62157870918435,101.3804714922948
171194035321,629,75,50,42,114,85.95929269136641,151.2778899905733
171194035322,245,28,35,25,16,37.53664875824692,53.75872022286245
171194035331,677,225,84,82,150,239.47651241823277,294.7965400068325
171194035332,477,22,45,86,114,88.76936408468859,151.33076356114773
171194035333,500,12,65,31,12,33.24154027718932,73.98648525237566
171194035334,555,101,114,71,82,123.45849504995596,186.98128248570765
