blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE
170310508001,348,87,22,94,85,128.08200498118384,155.28683137986943
170310509001,254,24,36,30,32,38.41874542459709,61.61168720299745
170310510001,198,60,29,49,78,77.46612162745726,113.69256791892775
170310511001,281,83,34,48,46,95.88013350011565,111.64676439557037
170310512001,163,10,20,27,17,28.792360097775937,38.961519477556315
170310512002,152,20,30,19,20,27.586228448267445,45.39823785126467
170310513001,282,55,66,92,54,107.18675291284833,136.97079980784227
170310513002,424,26,42,66,211,70.9365914038728,226.53255836634168
170310514001,256,36,58,43,46,56.08029957123981,92.87087810503355
170310514002,280,144,58,27,17,146.50938536489735,158.48659249286672
170310601001,167,42,16,32,29,52.80151512977634,62.32976816898969
170310601002,458,20,118,122,12,123.62847568420473,171.32425397473645
170310601003,319,83,12,84,66,118.0889495253472,135.812370570578
170310602001,274,43,12,62,35,75.45197147855052,84.03570669661795
170310602002,238,33,12,44,27,55,62.433965115151864
170310603001,259,40,42,28,18,48.82622246293481,66.87301398920195
170310603002,399,25,11,37,25,44.654227123532216,52.3450093132096
170310604001,290,84,28,46,32,95.77055915050303,104.78549517943789
170310604002,368,43,42,61,37,74.63243262818116,93.28987083279728
170310604003,225,45,51,29,69,53.53503525729669,101.13357503816425
170310605001,183,24,45,9,35,25.632011235952593,62.505999712027645
170310608001,249,12,39,40,12,41.7612260356422,58.38664230798
170310608002,12,12,12,12,12,16.97056274847714,24
170310608003,410,12,12,60,12,61.18823416311342,63.49803146555018
170310608004,467,12,92,96,12,96.74709297958259,134.0447686409283
170310609001,341,12,12,12,12,16.97056274847714,24
170310609002,12,12,12,12,12,16.97056274847714,24
170310609003,442,76,12,149,35,167.26326554267678,171.30674242422566
170310609004,632,12,12,12,12,16.97056274847714,24
170310609005,447,56,12,114,12,127.01181047445942,128.14054783713078
170310609006,695,12,12,12,12,16.97056274847714,24
170310610001,342,20,16,50,25,53.85164807134504,61.48983655857283
170310611001,252,9,9,33,14,34.20526275297414,38.03945320322047
170310612001,283,34,41,25,11,42.20189569201838,59.85816569190874
170310615001,279,20,13,23,26,30.479501308256342,42.118879377305376
170310618001,186,10,30,32,12,33.52610922848042,46.561786907291264
170310619011,241,12,29,32,27,34.17601498127012,52.32590180780452
170310619012,252,27,12,12,12,29.546573405388315,34.07345007480164
170310619013,257,12,54,12,12,16.97056274847714,57.86190456595773
170310619014,307,12,12,12,82,16.97056274847714,84.5931439302264
170310619021,292,58,12,53,12,78.56844150166147,80.38034585643433
170310619022,796,12,53,12,61,16.97056274847714,82.57118141337206
170310619023,386,21,12,12,26,24.186773244895647,37.48332962798263
170310619024,12,12,12,12,12,16.97056274847714,24
170310620001,427,60,53,135,25,147.73286702694156,158.93080255255745
170310620002,187,12,12,12,12,16.97056274847714,24
170310621001,326,12,16,73,16,73.97972695272672,77.36278174936577
170310621002,232,12,12,18,12,21.633307652783937,27.49545416973504
170310621003,468,12,16,30,12,32.31098884280702,38
170310622001,346,47,12,46,77,65.76473218982953,101.97058399362044
170310622002,587,46,28,310,20,313.3943203059047,315.27765540868893
170310623001,252,43,16,30,88,52.43090691567332,103.67738422626219
170310624001,205,44,33,66,12,79.32212806020776,86.74675786448736
170310625001,227,24,19,48,16,53.665631459994955,59.135437767890075
170310626001,359,48,43,52,48,70.76722405181653,95.71311299921238
170310627001,246,53,25,10,23,53.9351462406472,63.74166612193315
170310627002,256,30,29,25,30,39.05124837953327,57.148928248918196
170310627003,275,29,38,50,35,57.8013840664737,77.52418977325722
170310628001,209,28,18,37,29,46.400431032480725,57.60208329565867
170310628002,313,70,33,36,30,78.71467461661771,90.47098982546837
170310628003,420,22,12,36,35,42.190046219457976,56.1159513863928
170310629001,217,25,11,51,43,56.79788728465171,72.0832851637604
170310629002,208,23,12,28,13,36.235341863986875,40.32369030731191
170310629003,423,48,38,76,38,89.88882021697692,104.72821969268837
170310630001,228,38,12,25,16,45.48626166217664,49.68903299521938
170310630002,383,28,12,19,29,33.83784863137726,46.151923036857305
170310630003,123,12,10,22,7,25.059928172283335,27.874719729532707
170310631001,268,30,12,27,34,40.36087214122113,54.120236510939236
170310631002,154,30,12,19,17,35.510561809129406,41.15823125451335
170310632001,426,12,59,12,12,16.97056274847714,62.55397669213365
170310632002,255,73,12,12,12,73.97972695272672,75.9012516365837
170310632003,215,12,12,12,12,16.97056274847714,24
170310632004,318,72,40,65,12,97,105.60776486603625
170310632005,249,12,12,12,12,16.97056274847714,24
170310632006,664,39,12,12,42,40.80441152620633,59.77457653551382
170310633011,200,31,12,13,29,33.61547262794322,45.98912915026767
170310633012,337,42,26,33,12,53.41348144429457,60.60528029800704
170310633013,235,36,12,12,12,37.94733192202055,41.569219381653056
170310633021,469,143,12,12,12,143.50261321662404,144.50259513240584
170310633022,209,12,12,26,12,28.635642126552707,33.28663395418648
170310633023,185,12,12,28,12,30.463092423455635,34.87119154832539
170310633024,332,77,12,12,12,77.92945527847606,79.75587752636166
170310633031,80,12,14,13,12,17.69180601295413,25.553864678361276
170310633032,110,13,12,12,12,17.69180601295413,24.515301344262525
170310634001,409,37,23,38,55,53.03772242470448,79.79348344319854
170310634002,218,24,35,53,12,58.180752831155424,68.9492567037528
170310701011,633,28,130,108,24,111.57060544785082,172.9855485293497
170310701012,271,30,12,12,12,32.31098884280702,36.49657518178932
170310701013,367,82,21,80,21,114.56002793295748,118.34694757364889
170310701021,404,51,17,17,24,53.75872022286245,61.27805479941412
170310701022,332,10,20,22,20,24.166091947189145,37.20215047547655
170310701023,220,56,12,18,12,58.82176467941097,61.220911460055866
170310701031,139,12,12,12,12,16.97056274847714,24
170310701032,110,12,12,12,12,16.97056274847714,24
170310702001,390,12,42,44,63,45.60701700396552,88.3911760301898
170310702002,537,12,39,12,51,16.97056274847714,66.40783086353596
170310702003,201,24,24,12,12,26.832815729997478,37.94733192202055
170310703001,278,22,31,38,46,43.9089968002003,70.74602462329597
170310703002,624,12,10,27,11,29.546573405388315,33.075670817082454
170310704001,267,72,12,12,12,72.99315036357864,74.93997598078077
170310704002,230,52,31,44,44,68.11754546370561,86.81589716175259
170310704003,329,29,14,29,30,41.012193308819754,52.706735812417755
170310705001,178,13,12,48,20,49.72926703662542,54.927224579437834
170310705002,302,12,38,9,38,15,55.794264938253285
170310705003,313,66,30,13,16,67.26812023536856,75.37240874484509
170310706001,301,42,48,40,23,58,78.7210264160726
170310706002,741,30,194,41,188,50.80354318352215,274.8836117341301
170310707001,504,52,48,64,47,82.46211251235322,106.36258740741502
170310707002,410,35,33,89,12,95.63472172804185,101.87737727287643
170310710001,667,12,12,18,12,21.633307652783937,27.49545416973504
170310710002,609,108,100,46,84,117.38824472663352,175.60182231400674
170310711001,314,25,37,52,14,57.697486947006624,69.95712972957081
170310711002,557,12,23,16,16,20,34.42382895611701
170310712001,223,41,29,32,50,52.009614495783374,77.75602870517501
170310712002,356,39,115,43,12,58.05170109479997,129.3792873685738
170310713001,380,31,36,12,59,33.24154027718932,76.69419795525604
170310713002,512,45,12,39,21,59.54829972383762,64.27285585688566
170310714001,242,29,12,12,35,31.38470965295043,48.518037882832814
170310714002,410,30,46,12,29,32.31098884280702,63.25345840347388
170310714003,550,12,12,30,12,32.31098884280702,36.49657518178932
170310714004,237,12,12,12,12,16.97056274847714,24
170310715001,258,12,12,12,12,16.97056274847714,24
170310715002,435,36,12,12,12,37.94733192202055,41.569219381653056
170310715003,402,41,38,14,12,43.32435804486894,58.86425061104575
170310715004,439,48,25,29,12,56.08029957123981,62.56196927846821
170310715005,171,12,12,12,12,16.97056274847714,24
170310715006,248,60,12,12,12,61.18823416311342,63.49803146555018
170310716001,324,59,45,37,52,69.6419413859206,97.87236586493657
170310717001,179,21,26,22,30,30.4138126514911,50.00999900019995
170310717002,207,12,23,20,47,23.323807579381203,57.28874234961002
170310718001,401,24,60,52,34,57.271284253105414,89.64373932405988
170310718002,202,26,8,24,24,35.38361202590826,43.497126341863094
170310801001,163,12,12,12,12,16.97056274847714,24
170310801002,425,12,12,12,12,16.97056274847714,24
170310801003,462,12,12,60,12,61.18823416311342,63.49803146555018
170310801004,468,12,32,12,33,16.97056274847714,49
170310801005,464,12,12,12,12,16.97056274847714,24
170310801006,271,21,20,12,12,24.186773244895647,33.60059523282288
170310801007,311,12,12,12,18,16.97056274847714,27.49545416973504
170310802011,463,12,12,12,88,16.97056274847714,90.42123644365851
170310802012,224,12,12,12,12,16.97056274847714,24
170310802013,208,36,12,12,34,37.94733192202055,52.3450093132096
170310802021,261,45,24,24,12,51,57.62811813689564
170310802022,306,12,12,40,55,41.7612260356422,70.09279563550022
170310802023,437,12,12,12,12,16.97056274847714,24
170310803001,290,12,20,12,12,16.97056274847714,28.844410203711913
170310803002,380,36,54,12,12,37.94733192202055,67.08203932499369
170310803003,397,113,25,26,77,115.95257651298655,141.4178206592083
170310803004,376,12,73,54,12,55.31726674375732,92.37423883312923
170310804001,508,136,56,296,73,325.7483691440373,338.49224511057855
170310804002,338,102,12,12,76,102.70345661174214,128.32770550430644
170310804003,675,32,12,12,34,34.17601498127012,49.678969393496885
170310810001,158,12,12,12,12,16.97056274847714,24
170310810002,435,12,12,12,12,16.97056274847714,24
170310810003,247,12,12,12,12,16.97056274847714,24
170310810004,449,12,59,12,12,16.97056274847714,62.55397669213365
170310810005,684,12,12,12,12,16.97056274847714,24
170310810006,406,12,12,12,12,16.97056274847714,24
170310811001,348,18,12,12,31,21.633307652783937,39.66106403010388
170310811002,473,12,12,144,12,144.49913494550754,145.4922678357857
170310811003,390,12,12,48,12,49.47726750741192,52.306787322488084
170310812011,269,12,12,62,12,63.150613615387776,65.39113089708727
170310812012,409,12,12,30,12,32.31098884280702,36.49657518178932
170310812013,333,12,12,29,22,31.38470965295043,40.162171256046406
170310812021,317,12,12,12,12,16.97056274847714,24
170310812022,139,21,12,21,12,29.698484809834994,34.20526275297414
170310812023,275,43,48,51,30,66.70832032063167,87.48714191239762
170310812024,310,57,12,16,12,59.20304046246274,61.587336360651285
170310813001,323,12,12,12,12,16.97056274847714,24
170310813002,271,35,12,12,12,37,40.70626487409524
170310813003,421,12,12,12,12,16.97056274847714,24
170310813004,446,12,47,31,12,33.24154027718932,58.80476171195663
170310813005,252,12,12,12,12,16.97056274847714,24
170310813006,223,56,12,12,12,57.271284253105414,59.732738092272314
170310814011,210,12,12,12,12,16.97056274847714,24
170310814012,243,22,12,21,12,30.4138126514911,34.828149534535996
170310814021,601,108,123,92,12,141.8731828077456,188.1515346735179
170310814022,483,82,78,55,60,98.73702446397704,139.40229553346674
170310814023,226,12,12,12,36,16.97056274847714,41.569219381653056
170310814031,662,59,12,189,12,197.99494943053472,198.7209098207836
170310814032,392,12,12,12,12,16.97056274847714,24
170310814033,733,12,12,58,29,59.22837157984339,67.02984409947557
170310815001,519,73,12,96,12,120.60265337047937,121.79080425056729
170310815002,326,12,12,12,25,16.97056274847714,32.51153641401772
170310815003,460,12,12,26,12,28.635642126552707,33.28663395418648
170310816001,551,40,12,50,12,64.03124237432849,66.24198064671678
170310816002,206,12,14,26,27,28.635642126552707,41.773197148410844
170310817001,347,26,12,23,12,34.713109915419565,38.63935817272331
170310817002,460,17,12,12,12,20.808652046684813,26.851443164195103
170310818001,682,93,12,46,111,103.75451797391764,152.41391012633986
170310818002,772,42,12,12,12,43.68065933568311,46.861498055439924
170310818003,520,90,43,12,91,90.79647570252934,135.55072851150598
170310818004,644,12,44,87,12,87.82368700982668,98.9595877113481
170310819001,230,31,12,34,23,46.010868281309364,52.820450584977024
170310901001,195,24,38,40,12,46.647615158762406,61.35144660071187
170310901002,411,28,33,37,38,46.400431032480725,68.45436436049933
170310901003,251,21,12,74,10,76.92203845452875,78.49203781276162
170310901004,168,12,33,26,31,28.635642126552707,53.5723809439155
170310902001,280,48,67,28,51,55.569775957799216,100.88607436113271
170310902002,579,123,12,51,39,133.15404612703287,139.26593266122194
170310902003,272,29,12,60,27,66.64082832618455,72.89718787443039
170310902004,680,177,34,81,43,194.65353837010002,202.2251220793302
170310902005,239,27,12,12,36,29.546573405388315,48.093658625644196
170310903001,206,41,28,30,53,50.80354318352215,78.57480512225277
170311001001,518,26,76,51,30,57.245087125446844,99.76472322419383
170311001002,758,83,66,101,46,130.728726758888,153.49918566559236
170311001003,321,82,30,71,72,108.4665847162157,133.60014970051492
170311001004,399,12,12,37,12,38.897300677553446,42.43819034784589
170311002001,790,34,25,164,248,167.4873129523547,300.30151514769284
170311002002,409,12,12,67,70,68.06614430096654,98.37174391053561
170311002003,727,12,12,204,187,204.35263639111682,277.25980595823836
170311002004,348,12,12,126,47,126.57013865837392,135.5470398053753
170311002005,360,12,12,12,85,16.97056274847714,87.50428560933459
170311002006,352,22,12,31,43,38.01315561749642,58.63446085707619
170311002007,330,38,111,25,29,45.48626166217664,123.41393762456492
170311003001,338,48,45,30,58,56.60388679233962,92.69843580125827
170311003002,233,21,12,22,19,30.4138126514911,37.815340802378074
170311003003,249,12,28,12,28,16.97056274847714,43.08131845707603
170311003004,385,12,31,12,68,16.97056274847714,76.6355009117837
170311003005,297,57,32,30,12,64.41273166075166,72.91776189653656
170311003006,458,40,100,12,149,41.7612260356422,184.24168909342967
170311004001,487,36,31,31,76,47.50789408087881,94.83670175622937
170311004002,240,48,21,39,12,61.84658438426491,66.40783086353596
170311004003,213,38,16,37,28,53.03772242470448,62.07253821135398
170311005001,464,49,68,30,35,57.4543296888929,95.65563234854496
170311005002,270,105,12,41,12,112.72089424769483,113.99122773266372
170311005003,223,47,40,12,12,48.507731342539614,64.00781202322104
170311005004,404,12,32,85,37,85.84287972802403,98.80283396745257
170311005005,364,48,67,38,117,61.220911460055866,148.07430567117308
170311006001,534,225,12,42,21,228.8864347225497,230.1608133457996
170311006002,377,31,89,23,35,38.600518131237564,103.1309846748299
170311006003,219,47,14,14,15,49.040799340956916,53.16013544000805
170311006004,267,12,12,48,15,49.47726750741192,53.075418038862395
170311007001,224,12,17,19,87,22.47220505424423,91.44943958275523
170311007002,277,36,12,49,49,60.802960454241045,79.00632886041473
170311007003,680,173,60,47,20,179.27074496414633,190.09997369805183
170311007004,268,23,10,66,28,69.8927750200262,75.95393340703298
170311007005,274,12,47,28,23,30.463092423455635,60.54750201288241
170311101001,631,44,55,177,17,182.3869512876401,191.25637244285483
170311101002,505,79,12,23,142,82.28000972289685,164.55394252341694
170311101003,256,12,12,12,12,16.97056274847714,24
170311101004,512,38,163,47,42,60.440052945046304,178.84630272946657
170311101005,457,92,17,57,65,108.2266141020775,127.38524247337287
170311102001,520,31,51,68,29,74.73285756613352,95.01052573267869
170311102002,364,34,49,68,15,76.02631123499285,91.68424073961675
170311103001,305,54,20,14,12,55.78530272392541,60.4648658313239
170311103002,246,18,12,12,32,21.633307652783937,40.44749683231337
170311103003,319,12,12,12,56,16.97056274847714,59.732738092272314
170311103004,737,90,188,36,103,96.93296652842108,235.26368185506237
170311103005,371,30,25,45,34,54.08326913195984,68.60029154456998
170311104001,349,43,51,56,49,70.60453243241541,99.93497886125758
170311104002,343,69,48,27,56,74.09453421137081,104.546640309481
170311104003,374,43,16,17,14,46.238512086787566,50.89204259999789
170311105011,276,12,12,19,12,22.47220505424423,28.160255680657446
170311105012,510,50,109,41,73,64.66065264130884,146.2566237816257
170311105013,166,12,25,10,20,15.620499351813308,35.62302626111375
170311105014,310,32,13,50,50,59.36328831862332,78.6956161421969
170311105021,386,29,12,12,64,31.38470965295043,72.2841614740048
170311105022,439,69,68,52,79,86.40023148117139,135.3883303686104
170311201001,390,21,59,36,79,41.677331968349414,107.04671877269288
170311201002,255,27,42,37,57,45.803929962395145,84.32674546073743
170311201003,226,14,13,66,48,67.468511173732,83.81527307120105
170311201004,358,16,10,22,35,27.202941017470888,45.44227107000705
170311202001,289,79,27,51,23,94.03190947758107,100.4987562112089
170311202002,266,11,32,85,70,85.70880934886448,115.19548602267365
170311202003,193,16,40,50,33,52.49761899362675,73.79024325749306
170311202004,475,49,29,18,47,52.20153254455275,75.99342076785332
170311203001,338,34,66,55,46,64.66065264130884,103.21337122679407
170311203002,450,56,52,70,50,89.64373932405988,115.06519890914021
170311203003,343,51,23,64,37,81.83520025025906,92.70922284217467
170311203004,419,17,55,49,162,51.86520991955976,178.77080298527497
170311203005,539,61,182,119,117,133.7235955244997,254.35211813546982
170311203006,262,17,30,25,12,30.23243291566195,44.24929377967517
170311204001,188,18,26,22,39,28.42534080710379,54.817880294662984
170311204002,354,32,12,12,39,34.17601498127012,53.225933528685054
170311204003,479,54,48,76,65,93.23089616645332,123.37341690980274
170311301001,564,181,43,137,18,227.00220263248548,231.73907741250719
170311301002,299,12,11,12,9,16.97056274847714,22.135943621178654
170311301003,494,79,30,28,40,83.81527307120105,97.59610647971567
170311302001,300,9,22,37,10,38.07886552931954,45.09988913511872
170311303001,234,22,19,22,24,31.11269837220809,43.64630568559039
170311303002,284,33,12,44,36,55,66.82065548915246
170311303003,637,111,38,44,46,119.4026800369238,133.48033563038416
170311303004,464,51,64,56,47,75.7429864739964,109.73604694903129
170311401001,541,67,71,27,34,72.2357252334328,106.84100336481308
170311401002,334,71,41,58,59,91.67878707749138,116.4774656317693
170311402001,586,53,65,28,70,59.941638282582836,112.77411050414008
170311402002,483,30,66,17,62,34.48187929913333,96.89685237405806
170311402003,808,65,94,85,74,107.00467279516349,160.50545162080945
170311403011,421,11,42,25,22,27.313000567495326,54.71745608121781
170311403012,424,37,76,66,29,75.66372975210778,111.09455432198286
170311403021,362,61,44,38,18,71.8679344353238,86.16843969807043
170311403022,370,33,102,28,12,43.278170016764804,111.44954015158609
170311403023,422,63,11,12,26,64.13267497929586,70.07139216541941
170311404001,324,26,164,25,23,36.069377593742864,169.48746266317164
170311404002,538,12,45,93,28,93.7709976485267,107.71258050942797
170311404003,430,69,12,67,40,96.17692030835673,104.85227703774487
170311404004,562,12,12,12,12,16.97056274847714,24
170311404005,476,65,62,25,96,69.6419413859206,133.82824813917276
170311405001,349,12,12,62,60,63.150613615387776,87.93179174792243
170311405002,461,132,56,12,63,132.54433220624713,157.0764145249057
170311405003,433,52,53,66,84,84.02380615040002,130.09611831257686
170311406011,396,67,37,24,77,71.16881339463234,111.18902823570319
170311406021,372,12,122,53,12,54.3415126767741,134.09325113517085
170311406022,472,32,21,22,43,38.8329756778952,61.62791575252241
170311406023,501,61,42,22,145,64.8459713474939,164.2985088185526
170311406024,310,47,66,12,58,48.507731342539614,100.36433629531956
170311407011,295,28,22,33,12,43.278170016764804,50.00999900019995
170311407012,363,29,28,22,75,36.40054944640259,87.94316346368261
170311407021,473,69,59,17,10,71.06335201775947,92.90317540321213
170311407022,481,46,24,73,58,86.28441342444185,106.70051546267244
170311407023,281,17,41,45,51,48.104053883222775,81.21576201698781
170311407024,373,24,37,38,19,44.94441010848846,61.237243569579455
170311408001,211,46,12,51,35,68.6804193347711,78.01281945936834
170311408002,166,12,27,12,12,16.97056274847714,34.07345007480164
170311408003,605,55,65,12,220,56.293871780150276,236.20753586623778
170311408004,618,61,12,12,12,62.16912416947821,64.4437739428721
170311408005,1049,87,97,57,28,104.0096149401583,144.95171609884446
170311502001,344,13,51,92,43,92.91393867445294,114.38094246857735
170311502002,518,13,32,12,34,17.69180601295413,49.92995093127971
170311502003,424,82,12,18,12,83.95236744726142,85.65045242145543
170311502004,1083,31,30,223,235,225.1443981093023,326.8256415889059
170311502005,418,34,55,25,22,42.20189569201838,72.73238618387272
170311503001,474,12,88,12,12,16.97056274847714,90.42123644365851
170311503002,362,31,31,12,16,33.24154027718932,48.187135212627034
170311503003,588,16,37,92,155,93.38094023943002,184.69975636150687
170311503004,303,12,33,30,18,32.31098884280702,49.56813492557492
170311503005,269,12,16,19,56,22.47220505424423,62.42595614005443
170311503006,434,30,51,81,19,86.37708029332781,102.0930947713899
170311503007,307,48,42,12,12,49.47726750741192,66
170311504011,550,12,9,27,41,29.546573405388315,51.332251070842396
170311504012,376,54,32,46,20,70.9365914038728,80.34923770640266
170311504013,494,49,51,28,29,56.43580423808985,81.40638795573723
170311504014,273,70,38,36,12,78.71467461661771,88.2269800004511
170311504021,190,36,16,17,41,39.81205847478876,59.34644049983116
170311504022,327,56,18,12,12,57.271284253105414,61.220911460055866
170311504023,339,46,70,70,25,83.7615663654877,111.9866063420086
170311505011,347,28,21,65,12,70.77428911688199,74.79304780526061
170311505012,413,22,12,78,43,81.04319835741924,92.52567211320326
170311505013,284,30,29,30,21,42.42640687119285,55.51576352712804
170311505021,355,51,18,12,12,52.392747589718944,56.68333088307355
170311505022,340,59,26,29,54,65.7419196555744,88.9606654651369
170311505023,351,27,16,54,77,60.37383539249432,99.1463564635635
170311506001,469,12,12,72,12,72.99315036357864,74.93997598078077
170311506002,402,57,53,40,12,69.63476143421474,88.32893070789434
170311506003,446,57,33,56,36,79.90619500389191,93.64827814754524
170311506004,446,12,15,129,17,129.5569372901351,131.52566289511716
170311507001,259,39,12,37,17,53.75872022286245,57.645468165329355
170311507002,379,12,31,12,12,16.97056274847714,37.322915213043046
170311507003,675,78,185,11,14,78.77182237323191,201.5589243868899
170311507004,317,44,58,34,30,55.60575509783138,85.76712656956627
170311508001,266,12,30,21,12,24.186773244895647,40.36087214122113
170311508002,742,21,50,150,44,151.46286673637206,165.45996494620684
170311508003,479,12,50,60,12,61.18823416311342,79.92496481075234
170311508004,295,23,41,32,12,39.408120990476064,58.12056434688156
170311508005,188,9,22,12,22,15,34.539832078341085
170311510011,338,23,21,59,20,63.324560795950255,69.6491205974634
170311510012,341,79,42,71,46,106.21675950620975,123.13407326974935
170311510021,602,12,44,52,150,53.36665625650534,165.17869111964777
170311510022,294,12,29,26,50,28.635642126552707,64.50581369148055
170311510023,657,64,55,191,125,201.43733516902967,243.36597954521088
170311510024,396,12,16,12,100,16.97056274847714,102.68398122394748
170311511001,555,97,72,59,12,113.53413583587978,134.97407158413796
170311511002,486,37,96,45,62,58.25804665451803,128.27314605949292
170311511003,402,32,32,12,12,34.17601498127012,48.33218389437829
170311511004,484,12,86,14,38,18.439088914585774,95.81231653602788
170311512001,600,12,37,40,27,41.7612260356422,61.98386886924694
170311512002,492,12,18,16,33,20,42.579337712087536
170311512003,277,25,29,21,30,32.64965543462902,52.98112871579842
170311601001,390,121,104,33,39,125.41929676090518,167.5320864789787
170311601002,254,24,71,33,9,40.80441152620633,82.38325072488946
170311602001,197,12,12,12,25,16.97056274847714,32.51153641401772
170311602002,227,12,12,71,35,72.00694410957877,80.95677859203639
170311602003,233,12,65,38,29,39.84971769034255,81.57205403813245
170311602004,385,90,37,64,33,110.43550153822818,121.05370708904374
170311603001,368,71,27,38,31,80.52949770115296,90.41570660012562
170311603002,179,16,12,26,25,30.528675044947494,41.24318125460256
170311603003,338,71,8,22,69,74.33034373659252,101.73494974687902
170311604001,437,50,67,61,37,78.87331614684399,109.90450400233833
170311604002,362,21,28,75,52,77.88452991448301,97.74456506629922
170311604003,342,12,35,25,28,27.730849247724095,52.706735812417755
170311605011,480,45,20,71,56,84.05950273467003,102.96601381038309
170311605012,393,15,53,9,33,17.4928556845359,64.8382603097893
170311605021,341,12,25,12,66,16.97056274847714,72.58787777583802
170311605022,748,183,197,43,12,187.98404187589966,272.56375400995637
170311605023,373,49,34,37,66,61.40032573203501,96.34313675607619
170311606011,267,19,59,28,24,33.83784863137726,72.12489168102785
170311606012,175,11,49,67,12,67.89698078707183,84.5872330792301
170311606013,440,102,62,97,32,140.75865870347016,157.10187777362816
170311606021,410,47,12,65,11,80.2122185206219,81.84741901856161
170311606022,444,33,90,45,88,55.80322571321482,137.6880532217665
170311606023,334,23,17,24,25,33.24154027718932,44.93328387732194
170311607001,310,12,12,123,12,123.58397954427588,124.74373731775074
170311607002,737,39,126,31,12,49.8196748283246,136.02205703487945
170311607003,488,53,12,66,12,84.64632301523794,86.33075929238663
170311607004,738,32,12,12,32,34.17601498127012,48.33218389437829
170311607005,557,58,12,77,12,96.40020746865642,97.88258272031854
170311608001,607,28,135,18,41,33.28663395418648,144.96206400296597
170311608002,407,31,12,12,55,33.24154027718932,65.37583651472461
170311608003,776,16,23,56,12,58.240879114244144,63.75735251718032
170311608004,372,12,12,12,12,16.97056274847714,24
170311608005,429,64,52,99,53,117.88553770501282,139.3197760549449
170311609001,270,23,38,47,88,52.32590180780452,109.20622692868754
170311609002,281,40,24,19,24,44.28317965096906,55.794264938253285
170311610001,243,34,24,28,39,44.04543109109048,63.53739056650029
170311610002,269,22,66,41,12,46.52956049652737,81.6394512475433
170311611001,195,19,22,29,16,34.66987164671943,44.06812907306141
170311611002,230,49,29,81,21,94.66784036831093,101.21264743103995
170311612001,243,42,40,42,22,59.39696961966999,74.91328320131217
170311612002,354,36,43,30,35,46.861498055439924,72.59476565152615
170311613001,237,53,12,15,8,55.08175741568164,56.938563381947034
170311613002,259,12,53,12,12,16.97056274847714,56.929781309961136
170311613003,303,16,12,62,45,64.03124237432849,79.17701686727027
170311613004,463,51,162,91,39,104.31682510506155,196.58840250635336
170311701001,387,44,15,12,12,45.60701700396552,49.48737212663449
170311702001,285,25,23,15,24,29.154759474226502,44.21538193886829
170311702002,644,74,30,15,28,75.504966724050675,85.93602271457529
170311702003,348,18,36,12,21,21.633307652783937,46.95742752749558
170311703001,240,19,12,12,12,22.47220505424423,28.160255680657446
170311703002,592,12,54,19,10,22.47220505424423,59.33801479658719
170311703003,417,20,28,12,74,23.323807579381203,82.48636250920512
170311703004,358,21,33,33,44,39.11521443121589,67.49074010558782
170311703005,590,68,21,38,60,77.89736837660179,100.54352291420865
170311704001,235,12,14,61,50,62.16912416947821,81
170311704002,286,25,12,85,25,88.60022573334675,92.83856957105705
170311704003,550,12,31,68,28,69.05070600652827,80.7031597894407
170311704004,350,22,20,12,97,25.059928172283335,102.16163663528496
170311705001,434,32,46,33,40,45.967379738244816,76.34788798650555
170311705002,604,22,12,21,17,30.4138126514911,36.851051545376556
170311705003,398,32,23,35,52,47.4236228055175,74.04052944165107
170311705004,282,15,12,12,16,19.209372712298546,27.730849247724095
170311706001,237,28,21,36,26,45.60701700396552,56.542019772908716
170311706002,236,58,119,26,16,63.56099432828282,135.85654198455074
170311707001,271,30,12,10,85,31.622776601683793,91.48223871331527
170311707002,392,58,35,11,45,59.033888572581766,82.06704576137733
170311707003,624,25,54,59,49,64.07807737440318,97.07213812418061
170311708001,339,12,33,12,41,16.97056274847714,55.299186250793966
170311708002,414,37,43,43,56,56.72741841473134,90.5704145954958
170311708003,444,64,12,21,29,67.35725647619564,74.31016081263719
170311709001,499,53,41,31,37,61.40032573203501,82.58329128825031
170311710001,598,65,98,66,49,92.63368717696602,143.47822134386809
170311710002,316,12,12,77,12,77.92945527847606,79.75587752636166
170311710003,473,50,12,85,45,98.6154146165801,109.0596167240652
170311710004,567,12,12,12,79,16.97056274847714,81.68843247363729
170311710005,482,12,115,58,46,59.22837157984339,137.29166034395533
170311710006,410,103,12,45,12,112.40106761058811,113.67497525840945
170311711001,546,55,157,20,63,58.52349955359813,179.0055865050027
170311711002,434,36,36,41,35,54.56189146281496,74.14849964766651
170311711003,392,18,20,24,35,30,50.24937810560445
170311801001,403,65,62,45,12,79.05694150420949,101.1830025251277
170311801002,660,85,83,167,93,187.38729946290383,225.05999200213262
170311801003,455,12,12,12,12,16.97056274847714,24
170311801004,441,78,27,34,68,85.0881895447306,112.21853679316978
170311801005,518,38,48,57,72,68.5054742338158,110.3675676999362
170311901001,470,34,61,45,47,56.4003546088143,95.4515583948214
170311902001,590,19,61,63,75,65.80273550544841,116.94443124834974
170311902002,623,147,12,164,22,220.238507078122,221.65964901172248
170311902003,478,52,71,12,12,53.36665625650534,89.62700485902673
