Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,number,street,streetName,is_letter,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
3630 W MCLEAN AVE,Chicago,IL,,2017-01-26T00:00:00Z,1.3,1.6,1.6,FALSE,3630 W MCLEAN AVE,3630, W MCLEAN AVE,MCLEAN AVE,FALSE,NA,NA,NA,NA,NA,NA
3630 W MCLEAN AVE,Chicago,IL,,2019-05-05T00:00:00Z,5.9,1.8,1.3,FALSE,3630 W MCLEAN AVE,3630, W MCLEAN AVE,MCLEAN AVE,FALSE,NA,NA,NA,NA,NA,NA
3730 W MCLEAN AVE,Chicago,IL,,2019-10-13T00:00:00Z,2.9,1.1000000000000001,< 1,FALSE,3730 W MCLEAN AVE,3730, W MCLEAN AVE,MCLEAN AVE,FALSE,NA,NA,NA,NA,NA,NA
3930 N LAKE SHORE DR,Chicago,IL,,2016-08-18T00:00:00Z,< 1,< 1,< 1,FALSE,3930 N LAKE SHORE DR,3930, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
3930 N LAKE SHORE DR,Chicago,IL,,2016-12-02T00:00:00Z,< 1,< 1,< 1,FALSE,3930 N LAKE SHORE DR,3930, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
3930 N LAKE SHORE DR,Chicago,IL,,2018-10-26T00:00:00Z,< 1,< 1,< 1,FALSE,3930 N LAKE SHORE DR,3930, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
3930 N LAKE SHORE DR,Chicago,IL,,2020-11-03T00:00:00Z,< 1,< 1,< 1,FALSE,3930 N LAKE SHORE DR,3930, N LAKE SHORE DR,LAKE SHORE DR,FALSE,NA,NA,NA,NA,NA,NA
3930 W ROSEMONT AVE,Chicago,IL,,2019-08-23T00:00:00Z,2.2000000000000002,7.1,1.2,FALSE,3930 W ROSEMONT AVE,3930, W ROSEMONT AVE,ROSEMONT AVE,FALSE,NA,NA,NA,NA,NA,NA
4030 N MCVICKER AVE,Chicago,IL,,2019-08-28T00:00:00Z,3.7,6.9,4.8,FALSE,4030 N MCVICKER AVE,4030, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4130 N KEDVALE AVE,Chicago,IL,,2018-07-29T00:00:00Z,< 1,< 1,< 1,FALSE,4130 N KEDVALE AVE,4130, N KEDVALE AVE,KEDVALE AVE,FALSE,NA,NA,NA,NA,NA,NA
